AgentID;AgentName;Team;Personality;Openness;Conscientiousness;Extraversion;Agreeableness;Neuroticism;Stability;PrevMood_P;PrevMood_A;PrevMood_D;EventID;Emotion;EmotionIntensity;NewMood_P;NewMood_A;NewMood_D;Action;Time
1;NPC_1;Blue;Non_theatrical;0,268;0,534;0,025;0,467;0,475;0,525;0,000;0,000;0,000;enemyScores;Distress;1,000;-0,033;-0,047;-0,090;WatchCalmly;3,868
2;NPC_2;Blue;Antisocial;0,876;0,653;0,491;0,338;0,573;0,427;0,000;0,000;0,000;enemyScores;Disappointment;1,000;-0,019;0,006;-0,031;Boo;3,868
3;NPC_3;Blue;Non_theatrical;0,172;0,526;0,163;0,368;0,566;0,434;0,000;0,000;0,000;enemyScores;Distress;1,000;-0,041;-0,049;-0,087;WatchCalmly;3,868
4;NPC_4;Blue;Non_theatrical;0,305;0,657;0,187;0,392;0,636;0,364;0,000;0,000;0,000;enemyScores;FearsConfirmed;1,000;-0,063;-0,066;-0,127;WatchCalmly;3,868
5;NPC_5;Red;Unpretentious;0,751;0,929;0,504;0,981;0,396;0,604;0,000;0,000;0,000;teamScores;Gratification;1,000;0,159;0,081;0,086;Celebrate;3,868
6;NPC_6;Blue;Non_theatrical;0,569;0,695;0,316;0,508;0,360;0,640;0,000;0,000;0,000;enemyScores;Disappointment;1,000;-0,006;0,000;-0,044;WatchCalmly;3,868
7;NPC_7;Blue;Non_theatrical;0,403;0,500;0,207;0,331;0,718;0,282;0,000;0,000;0,000;enemyScores;FearsConfirmed;1,000;-0,072;-0,067;-0,129;WatchCalmly;3,868
8;NPC_8;Red;Antisocial;0,984;0,965;0,559;0,417;0,244;0,756;0,000;0,000;0,000;teamScores;Gratification;1,000;0,119;0,047;0,090;Celebrate;3,868
9;NPC_9;Blue;Narcissistic;0,632;0,914;0,954;0,454;0,178;0,822;0,000;0,000;0,000;enemyScores;Disappointment;1,000;0,003;-0,009;-0,004;CalmSituation;3,868
10;NPC_10;Blue;Antisocial;0,563;0,222;0,298;0,010;0,984;0,016;0,000;0,000;0,000;enemyScores;FearsConfirmed;1,000;-0,116;-0,075;-0,131;Boo;3,868
11;NPC_11;Red;Non_theatrical;0,626;0,704;0,306;0,540;0,430;0,570;0,000;0,000;0,000;teamScores;Gratification;1,000;0,141;0,070;0,084;Celebrate;3,868
12;NPC_12;Red;Prosocial;0,278;0,475;0,393;0,564;0,605;0,395;0,000;0,000;0,000;teamScores;Gratification;1,000;0,163;0,093;0,096;Chant;3,868
13;NPC_13;Red;Unpretentious;0,577;0,526;0,157;0,813;0,677;0,323;0,000;0,000;0,000;teamScores;Gratification;0,991;0,179;0,113;0,082;Chant;3,868
14;NPC_14;Blue;Histrionic;0,577;0,102;0,793;0,129;0,416;0,584;0,000;0,000;0,000;enemyScores;Disappointment;1,000;-0,018;-0,010;-0,008;Boo;3,868
15;NPC_15;Red;Unpretentious;0,063;0,061;0,033;0,431;0,844;0,156;0,000;0,000;0,000;teamScores;Gratification;0,970;0,166;0,119;0,079;Chant;3,868
16;NPC_16;Blue;Histrionic;0,401;0,375;0,581;0,569;0,487;0,513;0,000;0,000;0,000;enemyScores;Disappointment;1,000;-0,002;0,009;-0,037;Boo;3,868
17;NPC_17;Blue;Borderline;0,986;0,367;0,938;0,390;0,862;0,138;0,000;0,000;0,000;enemyScores;FearsConfirmed;1,000;-0,064;-0,060;-0,066;Boo;3,868
18;NPC_18;Blue;Straightforward;0,260;0,391;0,738;0,545;0,161;0,839;0,000;0,000;0,000;enemyScores;Disappointment;1,000;0,004;-0,007;-0,020;WatchCalmly;3,868
19;NPC_19;Red;Narcissistic;0,530;0,866;0,881;0,493;0,441;0,559;0,000;0,000;0,000;teamScores;Gratification;1,000;0,149;0,070;0,121;Celebrate;3,868
20;NPC_20;Blue;Unpretentious;0,699;0,734;0,230;0,850;0,468;0,532;0,000;0,000;0,000;enemyScores;Distress;1,000;-0,010;-0,033;-0,077;WatchCalmly;3,868
21;NPC_21;Red;Narcissistic;0,377;0,508;0,601;0,361;0,569;0,431;0,000;0,000;0,000;teamScores;Gratification;1,000;0,152;0,081;0,115;Chant;3,868
