AgentID;AgentName;Team;Personality;Openness;Conscientiousness;Extraversion;Agreeableness;Neuroticism;Stability;PrevMood_P;PrevMood_A;PrevMood_D;EventID;Emotion;EmotionIntensity;NewMood_P;NewMood_A;NewMood_D;Action;Time
1;NPC_1;Red;Schizotypal;0,361;0,300;0,217;0,280;0,729;0,271;0,000;0,000;0,000;teamScores;Gratification;1,000;0,154;0,099;0,101;Chant;1,765
2;NPC_2;Blue;Schizoid;0,340;0,403;0,239;0,487;0,469;0,531;0,000;0,000;0,000;enemyScores;Distress;1,000;-0,028;-0,046;-0,075;WatchCalmly;1,765
3;NPC_3;Blue;Schizotypal;0,876;0,825;0,007;0,752;0,132;0,868;0,000;0,000;0,000;enemyScores;Distress;1,000;-0,008;-0,039;-0,061;WatchCalmly;1,765
4;NPC_4;Blue;Paranoid;0,606;0,985;0,710;0,600;0,057;0,943;0,000;0,000;0,000;enemyScores;Disappointment;1,000;0,007;-0,009;-0,016;CalmSituation;1,765
5;NPC_5;Blue;Paranoid;0,565;0,824;0,540;0,490;0,253;0,747;0,000;0,000;0,000;enemyScores;Disappointment;1,000;-0,002;-0,006;-0,027;WatchCalmly;1,765
6;NPC_6;Red;Schizotypal;0,532;0,246;0,044;0,369;0,488;0,512;0,000;0,000;0,000;teamScores;Gratification;0,972;0,132;0,069;0,071;Celebrate;1,765
7;NPC_7;Blue;Schizoid;0,921;0,748;0,137;0,915;0,034;0,966;0,000;0,000;0,000;enemyScores;Disappointment;1,000;0,011;-0,002;-0,039;WatchCalmly;1,765
8;NPC_8;Red;Paranoid;0,333;0,489;0,240;0,048;0,806;0,194;0,000;0,000;0,000;teamScores;Gratification;1,000;0,146;0,099;0,115;Chant;1,765
9;NPC_9;Blue;Paranoid;0,484;0,659;0,657;0,183;0,763;0,237;0,000;0,000;0,000;enemyScores;FearsConfirmed;1,000;-0,076;-0,073;-0,090;Boo;1,765
10;NPC_10;Red;Paranoid;0,183;0,428;0,057;0,008;0,914;0,086;0,000;0,000;0,000;teamScores;Gratification;0,974;0,143;0,109;0,102;Chant;1,765
11;NPC_11;Blue;Paranoid;0,132;0,448;0,274;0,062;0,914;0,086;0,000;0,000;0,000;enemyScores;FearsConfirmed;1,000;-0,106;-0,075;-0,140;Boo;1,765
12;NPC_12;Blue;Schizotypal;0,955;0,901;0,386;0,743;0,596;0,404;0,000;0,000;0,000;enemyScores;Distress;1,000;-0,018;-0,033;-0,067;WatchCalmly;1,765
13;NPC_13;Red;Schizoid;0,468;0,665;0,390;0,575;0,279;0,721;0,000;0,000;0,000;teamScores;Gratification;1,000;0,127;0,055;0,074;Celebrate;1,765
14;NPC_14;Red;Schizoid;0,622;0,879;0,346;0,770;0,079;0,921;0,000;0,000;0,000;teamScores;Gratification;1,000;0,109;0,041;0,055;Celebrate;1,765
15;NPC_15;Red;Schizoid;0,687;0,807;0,568;0,804;0,068;0,932;0,000;0,000;0,000;teamScores;Gratification;1,000;0,110;0,040;0,064;Celebrate;1,765
16;NPC_16;Red;Schizoid;0,422;0,326;0,027;0,322;0,385;0,615;0,000;0,000;0,000;teamScores;Gratification;0,969;0,119;0,056;0,063;Celebrate;1,765
17;NPC_17;Red;Paranoid;0,504;0,576;0,409;0,219;0,701;0,299;0,000;0,000;0,000;teamScores;Gratification;1,000;0,152;0,092;0,119;Chant;1,765
18;NPC_18;Blue;Schizoid;0,483;0,463;0,328;0,400;0,239;0,761;0,000;0,000;0,000;enemyScores;Disappointment;1,000;-0,008;-0,009;-0,038;WatchCalmly;1,765
19;NPC_19;Red;Schizoid;0,261;0,429;0,216;0,447;0,516;0,484;0,000;0,000;0,000;teamScores;Gratification;1,000;0,144;0,077;0,080;Chant;1,765
20;NPC_20;Red;Schizotypal;0,570;0,153;0,012;0,282;0,527;0,473;0,000;0,000;0,000;teamScores;Gratification;0,967;0,130;0,070;0,074;Celebrate;1,765
21;NPC_21;Blue;Paranoid;0,534;0,814;0,614;0,449;0,533;0,467;0,000;0,000;0,000;enemyScores;Disappointment;1,000;-0,009;0,008;-0,030;Boo;1,765
22;NPC_22;Red;Schizotypal;0,525;0,223;0,206;0,310;0,725;0,275;0,000;0,000;0,000;teamScores;Gratification;1,000;0,156;0,099;0,103;Chant;1,765
23;NPC_23;Red;Schizotypal;0,734;0,369;0,205;0,456;0,288;0,712;0,000;0,000;0,000;teamScores;Gratification;1,000;0,121;0,052;0,071;Celebrate;1,765
