AgentID;AgentName;Team;Personality;Openness;Conscientiousness;Extraversion;Agreeableness;Neuroticism;Stability;PrevMood_P;PrevMood_A;PrevMood_D;EventID;Emotion;EmotionIntensity;NewMood_P;NewMood_A;NewMood_D;Action;Time
1;NPC_1;Blue;Borderline;0,927;0,879;0,567;0,559;0,556;0,444;0,000;0,000;0,000;enemyScores;Disappointment;1,000;-0,005;0,013;-0,029;Boo;3,463
2;NPC_2;Red;Narcissistic;0,270;0,796;0,902;0,266;0,599;0,401;0,000;0,000;0,000;teamScores;Gratification;1,000;0,155;0,081;0,140;Chant;3,463
3;NPC_3;Red;Narcissistic;0,398;0,500;0,727;0,392;0,276;0,724;0,000;0,000;0,000;teamScores;Gratification;1,000;0,124;0,049;0,095;Celebrate;3,463
4;NPC_4;Blue;Histrionic;0,873;0,008;0,908;0,606;0,806;0,194;0,000;0,000;0,000;enemyScores;FearsConfirmed;1,000;-0,047;-0,052;-0,075;WatchCalmly;3,463
5;NPC_5;Red;Narcissistic;0,192;0,199;0,669;0,050;0,890;0,110;0,000;0,000;0,000;teamScores;Gratification;1,000;0,162;0,111;0,157;Chant;3,463
6;NPC_6;Blue;Borderline;0,880;0,633;0,736;0,586;0,519;0,481;0,000;0,000;0,000;enemyScores;Disappointment;1,000;0,001;0,012;-0,018;FormGroup;3,463
7;NPC_7;Blue;Narcissistic;0,687;0,268;0,817;0,259;0,326;0,674;0,000;0,000;0,000;enemyScores;Disappointment;1,000;-0,009;-0,010;-0,007;WatchCalmly;3,463
8;NPC_8;Blue;Antisocial;0,935;0,696;0,541;0,358;0,246;0,754;0,000;0,000;0,000;enemyScores;Disappointment;1,000;-0,007;-0,010;-0,019;WatchCalmly;3,463
9;NPC_9;Red;Borderline;0,764;0,411;0,599;0,146;0,941;0,059;0,000;0,000;0,000;teamScores;Gratification;1,000;0,171;0,123;0,167;Celebrate;3,463
10;NPC_10;Red;Borderline;0,490;0,274;0,383;0,270;0,859;0,141;0,000;0,000;0,000;teamScores;Gratification;1,000;0,168;0,117;0,129;Chant;3,463
11;NPC_11;Blue;Histrionic;0,451;0,303;0,493;0,473;0,559;0,441;0,000;0,000;0,000;enemyScores;Disappointment;1,000;-0,011;0,010;-0,042;Boo;3,463
12;NPC_12;Blue;Histrionic;0,421;0,298;0,489;0,394;0,676;0,324;0,000;0,000;0,000;enemyScores;FearsConfirmed;1,000;-0,060;-0,065;-0,105;WatchCalmly;3,463
13;NPC_13;Blue;Borderline;0,824;0,722;0,324;0,244;0,860;0,140;0,000;0,000;0,000;enemyScores;FearsConfirmed;1,000;-0,087;-0,067;-0,119;Boo;3,463
14;NPC_14;Red;Histrionic;0,773;0,321;0,815;0,733;0,299;0,701;0,000;0,000;0,000;teamScores;Gratification;1,000;0,142;0,062;0,101;Celebrate;3,463
15;NPC_15;Red;Histrionic;0,420;0,377;0,602;0,501;0,442;0,558;0,000;0,000;0,000;teamScores;Gratification;1,000;0,145;0,070;0,101;Chant;3,463
16;NPC_16;Blue;Narcissistic;0,401;0,260;0,976;0,251;0,178;0,822;0,000;0,000;0,000;enemyScores;Disappointment;1,000;-0,004;-0,015;-0,002;CalmSituation;3,463
17;NPC_17;Blue;Borderline;0,684;0,559;0,302;0,217;0,923;0,077;0,000;0,000;0,000;enemyScores;FearsConfirmed;1,000;-0,095;-0,067;-0,129;Boo;3,463
18;NPC_18;Red;Antisocial;0,809;0,402;0,753;0,089;0,408;0,592;0,000;0,000;0,000;teamScores;Gratification;1,000;0,124;0,053;0,123;Celebrate;3,463
19;NPC_19;Red;Borderline;0,460;0,378;0,367;0,389;0,819;0,181;0,000;0,000;0,000;teamScores;Gratification;1,000;0,172;0,117;0,120;Chant;3,463
20;NPC_20;Blue;Borderline;0,940;0,895;0,860;0,935;0,484;0,516;0,000;0,000;0,000;enemyScores;Disappointment;1,000;0,021;0,022;-0,017;FormGroup;3,463
21;NPC_21;Blue;Narcissistic;0,350;0,493;0,517;0,180;0,807;0,193;0,000;0,000;0,000;enemyScores;FearsConfirmed;1,000;-0,083;-0,072;-0,108;Boo;3,463
22;NPC_22;Blue;Borderline;0,499;0,470;0,441;0,415;0,709;0,291;0,000;0,000;0,000;enemyScores;FearsConfirmed;1,000;-0,062;-0,063;-0,110;WatchCalmly;3,463
23;NPC_23;Blue;Borderline;0,477;0,420;0,429;0,239;0,800;0,200;0,000;0,000;0,000;enemyScores;FearsConfirmed;1,000;-0,080;-0,069;-0,114;Boo;3,463
24;NPC_24;Red;Borderline;0,948;0,325;0,368;0,179;0,838;0,162;0,000;0,000;0,000;teamScores;Gratification;1,000;0,160;0,110;0,139;Celebrate;3,463
25;NPC_25;Blue;Narcissistic;0,248;0,317;0,379;0,200;0,622;0,378;0,000;0,000;0,000;enemyScores;FearsConfirmed;1,000;-0,069;-0,074;-0,107;WatchCalmly;3,463
26;NPC_26;Blue;Narcissistic;0,108;0,303;0,522;0,052;0,888;0,112;0,000;0,000;0,000;enemyScores;FearsConfirmed;1,000;-0,098;-0,076;-0,115;Boo;3,463
27;NPC_27;Red;Antisocial;0,918;0,878;0,408;0,257;0,521;0,479;0,000;0,000;0,000;teamScores;Gratification;1,000;0,138;0,071;0,110;Celebrate;3,463
28;NPC_28;Red;Borderline;0,823;0,273;0,578;0,504;0,808;0,192;0,000;0,000;0,000;teamScores;Gratification;1,000;0,183;0,120;0,142;Celebrate;3,463
29;NPC_29;Red;Antisocial;0,896;0,687;0,591;0,035;0,421;0,579;0,000;0,000;0,000;teamScores;Gratification;1,000;0,121;0,052;0,117;Celebrate;3,463
30;NPC_30;Red;Narcissistic;0,516;0,646;0,706;0,335;0,620;0,380;0,000;0,000;0,000;teamScores;Gratification;1,000;0,157;0,086;0,131;Celebrate;3,463
31;NPC_31;Blue;Borderline;0,933;0,922;0,774;0,641;0,403;0,597;0,000;0,000;0,000;enemyScores;Disappointment;1,000;0,006;0,007;-0,015;FormGroup;3,463
32;NPC_32;Red;Antisocial;0,889;0,777;0,741;0,353;0,246;0,754;0,000;0,000;0,000;teamScores;Gratification;1,000;0,119;0,045;0,100;Celebrate;3,463
33;NPC_33;Blue;Narcissistic;0,526;0,156;0,734;0,015;0,964;0,036;0,000;0,000;0,000;enemyScores;FearsConfirmed;1,000;-0,103;-0,075;-0,089;Boo;3,463
34;NPC_34;Red;Borderline;0,524;0,315;0,300;0,258;0,890;0,110;0,000;0,000;0,000;teamScores;Gratification;1,000;0,168;0,121;0,125;Chant;3,463
35;NPC_35;Red;Histrionic;0,539;0,268;0,642;0,312;0,697;0,303;0,000;0,000;0,000;teamScores;Gratification;1,000;0,162;0,096;0,135;Celebrate;3,463
36;NPC_36;Red;Narcissistic;0,547;0,525;0,962;0,500;0,458;0,542;0,000;0,000;0,000;teamScores;Gratification;1,000;0,153;0,072;0,128;Celebrate;3,463
37;NPC_37;Blue;Antisocial;0,477;0,212;0,124;0,029;0,730;0,270;0,000;0,000;0,000;enemyScores;FearsConfirmed;1,000;-0,093;-0,080;-0,127;Boo;3,463
38;NPC_38;Red;Histrionic;0,927;0,400;0,951;0,920;0,417;0,583;0,000;0,000;0,000;teamScores;Gratification;1,000;0,163;0,082;0,120;Celebrate;3,463
39;NPC_39;Blue;Histrionic;0,388;0,298;0,461;0,317;0,682;0,318;0,000;0,000;0,000;enemyScores;FearsConfirmed;1,000;-0,065;-0,068;-0,106;WatchCalmly;3,463
40;NPC_40;Blue;Narcissistic;0,509;0,271;0,844;0,079;0,356;0,644;0,000;0,000;0,000;enemyScores;Disappointment;1,000;-0,018;-0,014;-0,005;Boo;3,463
41;NPC_41;Red;Narcissistic;0,880;0,718;0,905;0,136;0,320;0,680;0,000;0,000;0,000;teamScores;Gratification;1,000;0,120;0,046;0,122;Celebrate;3,463
42;NPC_42;Blue;Narcissistic;0,413;0,199;0,489;0,172;0,566;0,434;0,000;0,000;0,000;enemyScores;Disappointment;1,000;-0,027;-0,001;-0,035;Boo;3,463
43;NPC_43;Red;Narcissistic;0,477;0,689;0,885;0,461;0,413;0,587;0,000;0,000;0,000;teamScores;Gratification;1,000;0,145;0,066;0,118;Celebrate;3,463
44;NPC_44;Blue;Histrionic;0,513;0,206;0,530;0,319;0,485;0,515;0,000;0,000;0,000;enemyScores;Disappointment;1,000;-0,016;0,000;-0,032;Boo;3,463
45;NPC_45;Blue;Narcissistic;0,418;0,540;0,545;0,328;0,536;0,464;0,000;0,000;0,000;enemyScores;Disappointment;1,000;-0,017;0,003;-0,034;Boo;3,463
46;NPC_46;Red;Histrionic;0,660;0,510;0,944;0,526;0,095;0,905;0,000;0,000;0,000;teamScores;Gratification;1,000;0,109;0,036;0,087;Celebrate;3,463
47;NPC_47;Red;Narcissistic;0,554;0,432;0,588;0,309;0,445;0,555;0,000;0,000;0,000;teamScores;Gratification;1,000;0,136;0,064;0,107;Celebrate;3,463
48;NPC_48;Blue;Histrionic;0,458;0,044;0,622;0,265;0,754;0,246;0,000;0,000;0,000;enemyScores;FearsConfirmed;1,000;-0,071;-0,069;-0,095;WatchCalmly;3,463
49;NPC_49;Red;Histrionic;0,228;0,154;0,616;0,387;0,705;0,295;0,000;0,000;0,000;teamScores;Gratification;1,000;0,167;0,100;0,125;Chant;3,463
50;NPC_50;Blue;Histrionic;0,358;0,226;0,608;0,276;0,772;0,228;0,000;0,000;0,000;enemyScores;FearsConfirmed;1,000;-0,072;-0,068;-0,100;Boo;3,463
51;NPC_51;Blue;Narcissistic;0,345;0,568;0,854;0,148;0,835;0,165;0,000;0,000;0,000;enemyScores;FearsConfirmed;1,000;-0,080;-0,073;-0,080;Boo;3,463
52;NPC_52;Blue;Histrionic;0,578;0,065;0,677;0,434;0,588;0,412;0,000;0,000;0,000;enemyScores;Disappointment;1,000;-0,011;0,011;-0,026;Boo;3,463
53;NPC_53;Blue;Narcissistic;0,413;0,302;0,654;0,200;0,388;0,612;0,000;0,000;0,000;enemyScores;Disappointment;1,000;-0,016;-0,009;-0,021;Boo;3,463
54;NPC_54;Blue;Borderline;0,756;0,416;0,745;0,575;0,608;0,392;0,000;0,000;0,000;enemyScores;FearsConfirmed;1,000;-0,040;-0,059;-0,079;WatchCalmly;3,463
